dsld_id,label_url,product_name,max_grams,selected_source_rowid,unresolved_rows,suggested_use,review_status,dosage_form,serving_basis,daily_min_g,daily_max_g,reviewer,reviewed_on,notes
299095,https://dsld.od.nih.gov/label/299095,Creatine,0.75,1734605,0,Directions: Adults; take 1 capsule daily; preferably with a meal; or as directed by your Healthcare Professional.,pending,,,,,,,
302093,https://dsld.od.nih.gov/label/302093,Creatine1000,1.0,1750320,0,Suggested use:As a dietary supplement; take 2 capsules with water or beverage of your choice. Consume throughout the day to reach your desired daily creatine intake goals.,pending,,,,,,,
306204,https://dsld.od.nih.gov/label/306204,Creatine 3 g Peach Mango,2.25,1785564,0,Suggested use:As a dietary supplement; mix 1 scoop daily with 6-10 oz of water or as directed by your healthcare professional.,pending,,,,,,,
315559,https://dsld.od.nih.gov/label/315559,Six Point Creatine,2.5,1844432,0,Perfect for pre or post training Suggested use: Mix 6 Point Creatine into your favorite: beverage; pre-workout; intra-workout or post-workout drinks. It's flavorless and fillerless formula make it ideal to mix into just about any drink. Due to its anabolic properties; it is recommended that 6 Point be taken and timed around your workouts. Be sure to stay hydrated while training; supplementing and living and active lifestyle.,pending,,,,,,,
31651,https://dsld.od.nih.gov/label/31651,Creatine Plasma Bubble Gum,2.5,304041,0,SHAKE WELL BEFORE EACH USE. RECOMMENDED USE: Shake well prior to use. Dispense 10mL (1 full Delivery Detonator(TM)) of CREATINE PLASMA(TM) into mouth and swallow. CREATINE PLASMA(TM) can be stacked with POWER SHOCK(R); PROTEIN RUSH(R) and MELTDOWN(R) FAT INCINERATOR(TM). Use Delivery Detanator(TM) to administer correct dose.,pending,,,,,,,
317721,https://dsld.od.nih.gov/label/317721,Creatine 500 mg,0.5,1864537,0,Suggested Use:Take one capsule daily or as directed by a physician.,pending,,,,,,,
319530,https://dsld.od.nih.gov/label/319530,Creatine Monohydrate,2.2,1881110,0,Suggested Use: Take 4 capsules twice daily with 8-10 oz of juice or other glucose-containing liquid.,pending,,,,,,,
326503,https://dsld.od.nih.gov/label/326503,Creatine Freak CF Hydration Mix Fuzzy Peach,2.5,1934187,0,Directions: As a dietary supplement; adults mix one scoop with 8-16 ounces of cold water in a shaker bottle and consume before; during or after exercise. Creatine Freak ScoopShake,pending,,,,,,,
326504,https://dsld.od.nih.gov/label/326504,Creatine Freak CF Hydration Mix Pineapple Coconut,2.5,1934194,0,Directions: As a dietary supplements; adults mix one scoop with 8-16 ounces of cold water in a shaker bottle and consume before; during or after exercise. ScoopShakeMuscle hydrate,pending,,,,,,,
328409,https://dsld.od.nih.gov/label/328409,Creatine Capsules,1.0,1954935,0,Read the entire label and follow the directions carefully prior to use.Directions: Take two (2) capsules twice daily with water or juice; or as recommended by a healthcare practitioner.,pending,,,,,,,
